Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J
P00401	reviewed	Q0045
P03875	reviewed	Q0050
P03876	reviewed	Q0055
P03877	reviewed	Q0060
P03878	reviewed	Q0065
Q9ZZX1	reviewed	Q0070
Q9ZZX0	reviewed	Q0075
P00856	reviewed	Q0080
P00854	reviewed	Q0085
P00163	reviewed	Q0105
P03873	reviewed	Q0110
Q9ZZW7	reviewed	Q0115
P03879	reviewed	Q0120
P61829	reviewed	Q0130
P02381	reviewed	Q0140
P03882	reviewed	Q0160
P00410	reviewed	Q0250
P03881	reviewed	Q0255
P00420	reviewed	Q0275
A0A1S3J0K3	unreviewed	G1
Q9CGW9	unreviewed	L2
A8IM39	unreviewed	F1
A8IM47	unreviewed	F2
P34111	reviewed	YAL001C
P39702	reviewed	YAL002W
P32471	reviewed	YAL003W
P10591	reviewed	YAL005C
P39704	reviewed	YAL007C
P18411	reviewed	YAL008W
P18410	reviewed	YAL009W
P18409	reviewed	YAL010C
P31376	reviewed	YAL011W
P31373	reviewed	YAL012W
P31385	reviewed	YAL013W
P31377	reviewed	YAL014C
P31378	reviewed	YAL015C
P31383	reviewed	YAL016W
P31374	reviewed	YAL017W
P31379	reviewed	YAL018C
P31380	reviewed	YAL019W
P31386	reviewed	YAL020C
P31384	reviewed	YAL021C
P31381	reviewed	YAL022C
P31382	reviewed	YAL023C
P07866	reviewed	YAL024C
P10962	reviewed	YAL025C
P39524	reviewed	YAL026C
P39735	reviewed	YAL027W
P39734	reviewed	YAL028W
P32492	reviewed	YAL029C
P31109	reviewed	YAL030W
P39732	reviewed	YAL031C
P28004	reviewed	YAL032C
P28005	reviewed	YAL033W
P28003	reviewed	YAL034C
P39731	reviewed	YAL034W-A
P39730	reviewed	YAL035W
P39729	reviewed	YAL036C
Q3E741	reviewed	YAL037C-A
P39728	reviewed	YAL037W
P00549	reviewed	YAL038W
P06182	reviewed	YAL039C
P13365	reviewed	YAL040C
P11433	reviewed	YAL041W
P39727	reviewed	YAL042W
Q01329	reviewed	YAL043C
P39726	reviewed	YAL044C
Q3E793	reviewed	YAL044W-A
P39724	reviewed	YAL046C
P39723	reviewed	YAL047C
P39722	reviewed	YAL048C
P39721	reviewed	YAL049C
P39720	reviewed	YAL051W
P39719	reviewed	YAL053W
Q01574	reviewed	YAL054C
P39718	reviewed	YAL055W
P39717	reviewed	YAL056W
P27825	reviewed	YAL058W
P39715	reviewed	YAL059W
P39714	reviewed	YAL060W
P39713	reviewed	YAL061W
P39708	reviewed	YAL062W
P39712	reviewed	YAL063C
Q3E791	reviewed	YAL063C-A
Q6B2U8	reviewed	YAL064C-A
P39711	reviewed	YAL064W
O13512	reviewed	YAL064W-B
O13511	reviewed	YAL065C
P39709	reviewed	YAL067C
Q8TGK6	reviewed	YAL067W-A
Q05359	reviewed	YAR002C-A
P39705	reviewed	YAR002W
P39706	reviewed	YAR003W
P22336	reviewed	YAR007C
P39707	reviewed	YAR008W
P27637	reviewed	YAR014C
P27616	reviewed	YAR015W
P22209	reviewed	YAR018C
P27636	reviewed	YAR019C
P39545	reviewed	YAR020C
D6VPM8	reviewed	YAR023C
P39547	reviewed	YAR027W
P39548	reviewed	YAR028W
P39549	reviewed	YAR029W
P39551	reviewed	YAR031W
P39552	reviewed	YAR033W
Q8TGV0	reviewed	YAR035C-A
P80235	reviewed	YAR035W
P35845	reviewed	YAR042W
P32768	reviewed	YAR050W
P39563	reviewed	YAR064W
P39564	reviewed	YAR068W
P35842	reviewed	YAR071W
P35195	reviewed	YBL001C
P02294	reviewed	YBL002W
P04912	reviewed	YBL003C
P35194	reviewed	YBL004W
P33200	reviewed	YBL005W
P38210	reviewed	YBL006C
P32790	reviewed	YBL007C
P32479	reviewed	YBL008W
Q3E821	reviewed	YBL008W-A
P32789	reviewed	YBL009W
P32788	reviewed	YBL010C
P32784	reviewed	YBL011W
P32785	reviewed	YBL013W
P32786	reviewed	YBL014C
P32316	reviewed	YBL015W
