Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J	Gene names
F4I116	reviewed		At1g09620
P93654	reviewed		SYP22 SGR3 VAM3 At5g46860 MSD23.9
O04378	reviewed		SYP23 At4g17730 dl4901w FCAALL.117
Q9C615	reviewed		SYP24 At1g32270 F27G20_2 F5D14.3
Q94KK7	reviewed		SYP52 At1g79590 F20B17.2
Q946Y7	reviewed		SYP61 OSM1 At1g28490 F3M18.7
Q9SF29	reviewed		SYP71 At3g09740 F11F8_33
Q9M1R2	reviewed		At3g62120 T17J13.80
Q8RXN5	reviewed		TYW1 At1g75200 F22H5.13
Q8W4F3	reviewed		OVA9 At1g25350 F4F7.26
Q9SD33	reviewed		At3g51130 F24M12.170
Q9FMY5	reviewed		U2AF35B AUSB At5g42820 MJB21.20
Q9SYZ7	reviewed		At4g34320 F10M10.90
P0DI78	reviewed		At3g28290 MZF16.7
Q6E240	reviewed		At3g28310/At3g28320 MZF16.11/MZF16.13
Q9LVR4	reviewed		At5g66660 MSN2.4
Q9LVR3	reviewed		At5g66670 MSN2.5
Q56XQ0	reviewed		At2g18630 F24H14.1 MSF3.1
Q6DYE5	reviewed		At1g20180 T20H2.5
Q9M156	reviewed		UGT72B1 At4g01070 F2N1.15
Q8W4C2	reviewed		UGT72B2 At1g01390 F6F3.19
O23205	reviewed		UGT72C1 At4g36770 AP22.28 C7A10.590
Q9ZU72	reviewed		UGT72D1 At2g18570 F24H14.8
Q9LVR1	reviewed		UGT72E2 At5g66690 MSN2.8
Q8VZE9	reviewed		UGT73B1 At4g34138 F28A23.110
Q94C57	reviewed		UGT73B2 At4g34135 F28A23
Q7Y232	reviewed		UGT73B4 At2g15490 F9O13.4
Q9ZQ99	reviewed		UGT73C1 ZOG1 At2g36750 F13K3.15
Q9ZQ98	reviewed		UGT73C2 At2g36760 F13K3.16
Q9ZQ94	reviewed		UGT73C5 DOGT1 ZOG3 At2g36800 F13K3.20
Q9ZQ95	reviewed		UGT73C6 ZOG2 At2g36790 F13K3.19
Q9SCP5	reviewed		UGT73C7 At3g53160 T4D2.90
O22822	reviewed		UGT74F2 GT SAGT1 SGT1 At2g43820 F18O19.7
Q9LR44	reviewed		UGT75B1 UGT1 At1g05560 T25N20.20
Q9ZVY5	reviewed		UGT75B2 UGT2 At1g05530 T25N20.18
Q0WW21	reviewed		UGT75C1 At4g14090 dl3090c Z97335.19
O23406	reviewed		UGT75D1 IAGLU At4g15550 dl3815c FCAALL.103
