Entry	Entry name	Status	Protein names	Gene names
Q0WV96	NAC1_ARATH	reviewed	NAC domain-containing protein 1 (ANAC001) (Protein NTM1-like 10)	NAC001 NTL10 At1g01010 T25K16.1
Q9MAN1	NGA3_ARATH	reviewed	B3 domain-containing transcription factor NGA3 (Protein NGATHA3)	NGA3 At1g01030 T25K16.3
F4HQG6	F4HQG6_ARATH	unreviewed	Dicer-like 1	DCL1 ABNORMAL SUSPENSOR 1 ASU1 ATDCL1 CAF CARPEL FACTORY DICER-LIKE 1 dicer-like 1 EMB60 EMB76 EMBRYO DEFECTIVE 60 EMBRYO DEFECTIVE 76 SHORT INTEGUMENTS 1 SIN1 SUS1 SUSPENSOR 1 At1g01040 T25K16.4 T25K16_4
Q9SP32	DCL1_ARATH	reviewed	Endoribonuclease Dicer homolog 1 (EC 3.1.26.-) (Dicer-like protein 1) (AtDCL1) (Protein ABNORMAL SUSPENSOR 1) (Protein CARPEL FACTORY) (Protein SHORT INTEGUMENTS 1) (Protein SUSPENSOR 1)	DCL1 ASU1 CAF SIN1 SUS1 At1g01040 T25K16.4
Q93V56	IPYR1_ARATH	reviewed	Soluble inorganic pyrophosphatase 1 (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase 1) (PPase 1)	PPA1 At1g01050 T25K16.5
F4HQG9	F4HQG9_ARATH	unreviewed	Homeodomain-like superfamily protein	LHY LATE ELONGATED HYPOCOTYL LATE ELONGATED HYPOCOTYL 1 LHY1 At1g01060 T25K16.6 T25K16_6
F4HQH3	F4HQH3_ARATH	unreviewed	Homeodomain-like superfamily protein	LHY LATE ELONGATED HYPOCOTYL LATE ELONGATED HYPOCOTYL 1 LHY1 At1g01060 T25K16.6 T25K16_6
Q6R0H1	LHY_ARATH	reviewed	Protein LHY (MYB-related transcription factor LHY) (Protein LATE ELONGATED HYPOCOTYL)	LHY At1g01060 T25K16.6
Q5XEZ0	WTR1_ARATH	reviewed	WAT1-related protein At1g01070	At1g01070 T25K16.7
O24457	ODPA3_ARATH	reviewed	Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic (EC 1.2.4.1)	PDH-E1 ALPHA At1g01090 T25K16.8
A8MQK8	A8MQK8_ARATH	unreviewed	60S acidic ribosomal protein family	At1g01100 T25K16.9 T25K16_9
Q8LCW9	RLA11_ARATH	reviewed	60S acidic ribosomal protein P1-1	RPP1A At1g01100 T25K16.9
Q9MAM3	KCS1_ARATH	reviewed	3-ketoacyl-CoA synthase 1 (KCS-1) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 1) (VLCFA condensing enzyme 1)	KCS1 EL1 At1g01120 T25K16.11
Q9MAM1	CIPK9_ARATH	reviewed	CBL-interacting serine/threonine-protein kinase 9 (EC 2.7.11.1) (SNF1-related kinase 3.12) (SOS2-like protein kinase PKS6)	CIPK9 PKS6 SnRK3.12 At1g01140 F6F3.28 T25K16.13
F4HQJ3	F4HQJ3_ARATH	unreviewed	GRF1-interacting factor 2	GIF2 GRF1-interacting factor 2 At1g01160 F6F3.29
Q9MAL9	GIF2_ARATH	reviewed	GRF1-interacting factor 2 (AtGIF2) (Transcription coactivator GIF2)	GIF2 At1g01160 F6F3_1 T25K16.15
Q9LNK1	RABA3_ARATH	reviewed	Ras-related protein RABA3 (AtRABA3)	RABA3 At1g01200 F6F3.1
Q9LNK0	Q9LNK0_ARATH	unreviewed	DNA-directed RNA polymerase subunit	At1g01210 F6F3.2 F6F3_2
Q9C5I0	Q9C5I0_ARATH	unreviewed	ORMDL family protein	At1g01230 F6F3.4 F6F3_4
Q9LNJ7	Q9LNJ7_ARATH	unreviewed	At1g01240/F6F3_11 (F633.5 protein) (Transmembrane protein)	F633.5 F633_5 At1g01240 F6F3.27
Q1ECI2	ERF23_ARATH	reviewed	Ethylene-responsive transcription factor ERF023	ERF023 At1g01250 F6F3.6
Q9LNJ5	BH013_ARATH	reviewed	Transcription factor bHLH13 (Basic helix-loop-helix protein 13) (AtbHLH13) (bHLH 13) (Transcription factor EN 39) (bHLH transcription factor bHLH013)	BHLH13 EN39 At1g01260 F6F3.7
Q39056	CNX3_ARATH	reviewed	Cyclic pyranopterin monophosphate synthase, mitochondrial (EC 4.6.1.17) (Molybdenum cofactor biosynthesis enzyme CNX3) (Molybdenum cofactor biosynthesis protein C) (Molybdopterin biosynthesis protein CNX3)	CNX3 At1g01290 F6F3.9
Q9LNJ3	APF2_ARATH	reviewed	Aspartyl protease family protein 2 (EC 3.4.23.-)	APF2 At1g01300 F6F3.10
F4HS98	F4HS98_ARATH	unreviewed	Tetratricopeptide repeat (TPR)-like superfamily protein	At1g01320 F6F3.12 F6F3_12
F4HS99	F4HS99_ARATH	unreviewed	Tetratricopeptide repeat (TPR)-like superfamily protein	At1g01320 F6F3.12 F6F3_12
Q9LNJ0	CNG10_ARATH	reviewed	Probable cyclic nucleotide-gated ion channel 10 (CaM-regulated potassium ion channel) (Cyclic nucleotide- and calmodulin-regulated ion channel 10)	CNGC10 ACBK1 At1g01340 F6F3.13
Q8GX84	C3H1_ARATH	reviewed	Zinc finger CCCH domain-containing protein 1 (AtC3H1)	At1g01350 F6F3.14
Q84MC7	PYL9_ARATH	reviewed	Abscisic acid receptor PYL9 (ABI1-binding protein 4) (PYR1-like protein 9) (Regulatory components of ABA receptor 1)	PYL9 RCAR1 At1g01360 F6F3.16
Q8RVQ9	HTR12_ARATH	reviewed	Histone H3-like centromeric protein HTR12 (Centromeric histone CENH3)	HTR12 CENH3 At1g01370 F6F3.17
Q9LNI5	ETC1_ARATH	reviewed	MYB-like transcription factor ETC1 (Protein ENHANCER OF TRY AND CPC 1)	ETC1 At1g01380 F6F3.18
Q6NQ63	Q6NQ63_ARATH	unreviewed	At1g01440	At1g01440 F6F3.24 F6F3_24
O03983	LEA14_ARATH	reviewed	Probable desiccation-related protein LEA14	LEA14 At1g01470 F22L4.3
Q06402	1A12_ARATH	reviewed	1-aminocyclopropane-1-carboxylate synthase 2 (ACC synthase 2) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 2)	ACS2 ACC1 At1g01480 F22L4.4
Q8GUH2	Y1015_ARATH	reviewed	Uncharacterized protein At1g01500	At1g01500 F22L4.17
O23702	CTBP_ARATH	reviewed	C-terminal binding protein AN (CtBP) (Protein ANGUSTIFOLIA) (Protein DETORQUEO)	AN DOQ At1g01510 F22L4.6
