Entry	Entry name	Status	Gene names	EnsemblPlants transcript	Cross-reference (STRING)
P05117	PGLR_SOLLC	reviewed	PG2 PG PG2A PG2B	Solyc10g080210.2.1;	4081.Solyc10g080210.1.1;
Q10712	AMPL1_SOLLC	reviewed	LAPA1 LAP LAP2 Solyc12g010020		4081.Solyc12g010020.1.1;
O24023	NCED1_SOLLC	reviewed	NCED1 NCE NOTABILIS Solyc07g056570.1.1	Solyc07g056570.1.1;	4081.Solyc07g056570.1.1;
Q84K11	PPP5_SOLLC	reviewed	PP5		
K4CWS6	U75C1_SOLLC	reviewed	UGT75C1 Solyc09g092500.1.1		
O82777	SBT3_SOLLC	reviewed	sbt3 Solyc01g087850	Solyc01g087850.2.1;	4081.Solyc01g087850.2.1;
Q71BG9	TM22_SOLLC	reviewed	Tm-2(2) Tm-2a		
P25306	TD2_SOLLC	reviewed	TD2 TD	Solyc09g008670.3.1;	4081.Solyc09g008670.2.1;
P18485	1A12_SOLLC	reviewed	ACS2 ACC2 PCVV4A	Solyc01g095080.3.1;	4081.Solyc01g095080.2.1;
K4CI52	ABAH2_SOLLC	reviewed	CYP707A2 Solyc08g005610.2.1	Solyc08g005610.3.1;	4081.Solyc08g005610.2.1;
Q9XG54	OPR1_SOLLC	reviewed	OPR1	Solyc10g086220.2.1;	4081.Solyc10g086220.1.1;
Q9FEW9	OPR3_SOLLC	reviewed	OPR3	Solyc07g007870.3.1;	4081.Solyc07g007870.2.1;
Q2LAJ3	ARF2A_SOLLC	reviewed	ARF2A ARF2 Solyc03g118290	Solyc03g118290.3.1;	4081.Solyc03g118290.2.1;
Q8GZP5	AOS3_SOLLC	reviewed	AOS3 CYP74C3 CYP74D1 Solyc10g007960	Solyc10g007960.1.1;	4081.Solyc10g007960.1.1;
P14280	PME1_SOLLC	reviewed	PME1.9		4081.Solyc07g064170.2.1;
Q8L5J1	MAN4_SOLLC	reviewed	MAN4		4081.Solyc01g008710.2.1;
A7M6E7	TM1R_SOLLC	reviewed	Tm-1		
P27065	RBL_SOLLC	reviewed	rbcL		4081.Solyc01g007330.2.1;
A9QNE7	ABAH1_SOLLC	reviewed	CYP707A1	Solyc04g078900.3.1;	4081.Solyc04g078900.2.1;
Q84LB6	SUCB_SOLLC	reviewed			4081.Solyc06g083790.2.1;
Q7XAD0	HSY1_SOLLC	reviewed		Solyc06g068520.3.1;	4081.Solyc06g068520.2.1;
P54926	IMP1_SOLLC	reviewed	IMP1 IMP-1		4081.Solyc04g014800.2.1;
Q8GTQ9	SUCA1_SOLLC	reviewed	SCOA		4081.Solyc01g007910.2.1;
G1JUH1	TPS3_SOLLC	reviewed	TPS3		4081.Solyc01g105870.2.1;
Q6DQL1	SUCA2_SOLLC	reviewed			4081.Solyc02g005350.2.1;
Q5K2N1	DET2_SOLLC	reviewed	DET2	Solyc10g086500.1.1;	4081.Solyc10g086500.1.1;
K4CGU0	K4CGU0_SOLLC	unreviewed	101266538 Fni3	Solyc07g062570.3.1;	4081.Solyc07g062570.2.1;
A0A3Q7J6V7	A0A3Q7J6V7_SOLLC	unreviewed	101249710	Solyc12g021170.2.1;	
K4CAD7	K4CAD7_SOLLC	unreviewed	MLO		4081.Solyc06g082820.2.1;
K4AY57	K4AY57_SOLLC	unreviewed	101260866	Solyc01g086640.2.1;	4081.Solyc01g086640.2.1;
K4D775	K4D775_SOLLC	unreviewed		Solyc11g021260.1.1;	
K4BEJ5	K4BEJ5_SOLLC	unreviewed	101258440	Solyc03g007730.1.1;	4081.Solyc03g007730.1.1;
G5DGD4	G5DGD4_SOLLC	unreviewed	Sl20.0shsp		4081.Solyc06g076570.1.1;
Q9SWZ1	Q9SWZ1_SOLLC	unreviewed			
Q84MI5	Q84MI5_SOLLC	unreviewed	MPK2		4081.Solyc08g014420.2.1;
K4BCF7	K4BCF7_SOLLC	unreviewed		Solyc02g090060.1.1;	
K4D0I8	K4D0I8_SOLLC	unreviewed		Solyc10g050320.1.1;	
A0A494G940	A0A494G940_SOLLC	unreviewed		Solyc00g024150.3.1;	
K4D0I6	K4D0I6_SOLLC	unreviewed		Solyc10g050300.1.1;	
K4BT21	K4BT21_SOLLC	unreviewed		Solyc04g063310.1.1;	
K4CUP8	K4CUP8_SOLLC	unreviewed		Solyc09g066230.1.1;	
K4AV30	K4AV30_SOLLC	unreviewed		Solyc01g020490.1.1;	
K4D7M4	K4D7M4_SOLLC	unreviewed		Solyc11g030900.1.1;	4081.Solyc11g030900.1.1;
K4BAH4	K4BAH4_SOLLC	unreviewed		Solyc02g083060.1.1;	
K4BZD2	K4BZD2_SOLLC	unreviewed		Solyc05g018780.1.1;	4081.Solyc05g018780.1.1;
K4CKE2	K4CKE2_SOLLC	unreviewed		Solyc08g045880.1.1;	
K4D8L8	K4D8L8_SOLLC	unreviewed		Solyc11g045540.1.1;	
K4B5V9	K4B5V9_SOLLC	unreviewed		Solyc02g038650.1.1;	4081.Solyc02g038650.1.1;
Q93X46	Q93X46_SOLLC	unreviewed	app1		4081.Solyc02g085640.2.1;
K4CYP4	K4CYP4_SOLLC	unreviewed		Solyc10g017680.1.1;	
K4DGW8	K4DGW8_SOLLC	unreviewed	101267593	Solyc12g088970.1.1;	4081.Solyc12g088970.1.1;
K4B5G9	K4B5G9_SOLLC	unreviewed		Solyc02g032230.1.1;	
K4C6K5	K4C6K5_SOLLC	unreviewed	101263125	Solyc06g060240.1.1;	4081.Solyc06g060240.1.1;
K4D0X5	K4D0X5_SOLLC	unreviewed		Solyc10g052770.1.1;	
A0A3Q7ILR1	A0A3Q7ILR1_SOLLC	unreviewed		Solyc10g083740.2.1;	
K4CKC8	K4CKC8_SOLLC	unreviewed		Solyc08g045730.1.1;	
K4CU27	K4CU27_SOLLC	unreviewed		Solyc09g062960.2.1;	
A0A3Q7F4Q5	A0A3Q7F4Q5_SOLLC	unreviewed		Solyc02g078720.3.1;	
A0A3Q7HJS3	A0A3Q7HJS3_SOLLC	unreviewed		Solyc08g021970.1.1;	
A0A3Q7GAM8	A0A3Q7GAM8_SOLLC	unreviewed	101266413	Solyc04g081590.3.1;	
K4BWF2	K4BWF2_SOLLC	unreviewed		Solyc05g006250.1.1;	4081.Solyc05g006250.1.1;
A0A3Q7EEH2	A0A3Q7EEH2_SOLLC	unreviewed		Solyc01g057990.1.1;	
A0A3Q7IN99	A0A3Q7IN99_SOLLC	unreviewed		Solyc11g005000.2.1;	
A0A3Q7IZ82	A0A3Q7IZ82_SOLLC	unreviewed		Solyc11g067310.2.1;	
A0A3Q7IW88	A0A3Q7IW88_SOLLC	unreviewed		Solyc11g044860.2.1;	
A0A3Q7FVK8	A0A3Q7FVK8_SOLLC	unreviewed	101256471	Solyc03g121380.3.1;	
K4CLA5	K4CLA5_SOLLC	unreviewed		Solyc08g065240.1.1;	
K4BZP5	K4BZP5_SOLLC	unreviewed		Solyc05g024070.1.1;	4081.Solyc05g024070.1.1;
Q9ZTK1	Q9ZTK1_SOLLC	unreviewed	Cf-5		
K4CFF7	K4CFF7_SOLLC	unreviewed		Solyc07g052580.1.1;	
K4DFI5	K4DFI5_SOLLC	unreviewed		Solyc12g049040.1.1;	
A0A3Q7H6B0	A0A3Q7H6B0_SOLLC	unreviewed		Solyc05g008220.3.1;	
A0A3Q7IC50	A0A3Q7IC50_SOLLC	unreviewed	101259083	Solyc10g011870.3.1;	
K4C3G3	K4C3G3_SOLLC	unreviewed		Solyc06g007820.1.1;	
A0A3Q7I958	A0A3Q7I958_SOLLC	unreviewed	101254426	Solyc09g098540.3.1;	
A0A3Q7IF53	A0A3Q7IF53_SOLLC	unreviewed		Solyc10g044720.2.1;	
A0A3Q7EP38	A0A3Q7EP38_SOLLC	unreviewed	101255433	Solyc01g098550.3.1;	
K4BZP3	K4BZP3_SOLLC	unreviewed		Solyc05g024050.1.1;	
K4C5D7	K4C5D7_SOLLC	unreviewed	101252402	Solyc06g048910.1.1;	4081.Solyc06g048910.1.1;
A0A3Q7HTA3	A0A3Q7HTA3_SOLLC	unreviewed	101257780	Solyc06g068470.3.1;	
K4B618	K4B618_SOLLC	unreviewed		Solyc02g050300.1.1;	
A0A3Q7FLM4	A0A3Q7FLM4_SOLLC	unreviewed		Solyc03g093710.1.1;	
A0A3Q7J376	A0A3Q7J376_SOLLC	unreviewed		Solyc12g009650.2.1;	
A0A3Q7I9Q3	A0A3Q7I9Q3_SOLLC	unreviewed		Solyc10g005670.2.1;	
A0A3Q7J728	A0A3Q7J728_SOLLC	unreviewed	101248427	Solyc10g009010.3.1;	
K4D317	K4D317_SOLLC	unreviewed	101258317	Solyc10g081300.1.1;	4081.Solyc10g081300.1.1;
K4C174	K4C174_SOLLC	unreviewed		Solyc05g050420.1.1;	
A0A3Q7JVA2	A0A3Q7JVA2_SOLLC	unreviewed	101266611	Solyc12g038160.2.1;	
